Arguments,Description,Parameter,Constants,Supported,Type,Ixia Version,Spirent Version,Return Values,Example
mode,,,"get_session_keys, get_traffic_items, get_traffic_ce, get_traffic_hls, get_traffic_headers, get_traffic_application_profiles",,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
port_handle,"Specifies a list of port handles. If this parameter exists, only the keys related to the given ports are returned.",port,,"IxNetwork, IxOS/IxNetwork-FT",ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
traffic_handle,"Specifies which traffic elements should be used. Is a list. For modes get_traffic_ce/get_traffic_hls this needs to be a traffic item name (stream id). Because this parameter is a list, the traffic item names should be properly formatted (in case of containing spaces). For mode get_traffic_headers this needs to be a configElement/highLevelStream IxNetwork handle.",any,,"IxNetwork, IxOS/IxNetwork-FT",ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
session_keys_include_filter,"May contains a list of value that specify an inclusion filter for the returned session keys. The keys that have items in <typepath> are dependent on the command that generated that kind of typepath. Generally the procedure that generated those objects has the same name as the first part in the key.
Eg.: in emulation_bgp_route_config.bgp_sites.<vport/protocols/bgp/neighborRange/l2Site> objects of type vport/protocols/bgp/neighborRange/l2Site are generated by the emulation_bgp_route_config command.",any,"connect, connect.vport_list, interface_config, interface_config.interface_handle, interface_config.routed_interface_handle, interface_config.gre_interface_handle, interface_config.atm_endpoints, interface_config.fr_endpoints, interface_config.ip_endpoints, interface_config.lan_endpoints, interface_config.ig_endpoints, emulation_bfd_config, emulation_bfd_config.router_handles, emulation_bfd_config.router_interface_handles, emulation_bfd_config.interface_handles, emulation_bfd_session_config.session_handles, emulation_bgp_config, emulation_bgp_config.handles, emulation_bgp_route_config, emulation_bgp_route_config.bgp_routes, emulation_bgp_route_config.bgp_sites, emulation_cfm_config, emulation_cfm_config.handle, emulation_cfm_config.interface_handles, emulation_cfm_custom_tlv_config, emulation_cfm_custom_tlv_config.handle, emulation_cfm_links_config, emulation_cfm_links_config.handle, emulation_cfm_md_meg_config, emulation_cfm_md_meg_config.handle, emulation_cfm_mip_mep_config, emulation_cfm_mip_mep_config.handle, emulation_cfm_vlan_config, emulation_cfm_vlan_config.handle, emulation_cfm_vlan_config.mac_range_handles, emulation_dhcp_config, emulation_dhcp_config.handle, emulation_dhcp_group_config, emulation_dhcp_group_config.handle, emulation_dhcp_server_config, emulation_dhcp_server_config.handle, dhcp_client_extension_config, dhcp_client_extension_config.handle, dhcp_server_extension_config, dhcp_server_extension_config.handle, emulation_efm_config, emulation_efm_config.information_oampdu_id, emulation_efm_config.event_notification_oampdu_id, emulation_efm_org_var_config, emulation_efm_org_var_config.handle, emulation_eigrp_config, emulation_eigrp_config.router_handles, emulation_eigrp_config.interface_handles, emulation_eigrp_route_config, emulation_eigrp_route_config.session_handles, emulation_elmi_config, emulation_elmi_config.interface_handles, emulation_elmi_config.uni_handles, emulation_elmi_config.uni_status_handles, emulation_elmi_config.bw_profile_handles, emulation_elmi_config.evc_handles, emulation_elmi_config.ce_vlan_id_range_handles, emulation_igmp_config, emulation_igmp_config.handle, emulation_igmp_group_config, emulation_igmp_group_config.handle, emulation_igmp_group_config.source_handle, emulation_isis_config, emulation_isis_config.handle, emulation_isis_topology_route_config, emulation_isis_topology_route_config.elem_handle, emulation_isis_topology_route_config.stub, emulation_isis_topology_route_config.external, emulation_isis_topology_route_config.grid, l2tp_config, l2tp_config.handles, emulation_lacp_link_config, emulation_lacp_link_config.handle, emulation_ldp_config, emulation_ldp_config.handle, emulation_ldp_route_config, emulation_ldp_route_config.lsp_handle, emulation_ldp_route_config.lsp_intf, emulation_ldp_route_config.lsp_vc_range_handles, emulation_ldp_route_config.lsp_vc_ip_range_handles, emulation_ldp_route_config.lsp_vc_mac_range_handles, emulation_mld_config, emulation_mld_config.handle, emulation_mld_group_config, emulation_mld_group_config.handle, emulation_ospf_config, emulation_ospf_config.handle, emulation_ospf_topology_route_config, emulation_ospf_topology_route_config.elem_handle, emulation_pbb_config, emulation_pbb_config.handle, emulation_pbb_config.interface_handles, emulation_pbb_trunk_config, emulation_pbb_trunk_config.trunk_handle, emulation_pbb_trunk_config.mr_handle, emulation_pim_config, emulation_pim_config.handle, emulation_pim_config.interfaces, emulation_pim_group_config, emulation_pim_group_config.handle, pppox_config, pppox_config.handles, emulation_rip_config, emulation_rip_config.handle, emulation_rip_route_config, emulation_rip_route_config.route_handle, emulation_rsvp_config, emulation_rsvp_config.handles, emulation_rsvp_tunnel_config, emulation_rsvp_tunnel_config.tunnel_handle, emulation_rsvp_tunnel_config.tunnel_leaves_handle, emulation_rsvp_tunnel_config.routed_interfaces, emulation_stp_msti_config, emulation_stp_msti_config.handle, emulation_stp_bridge_config, emulation_stp_bridge_config.bridge_handle, emulation_stp_bridge_config.bridge_interface_handles, emulation_stp_bridge_config.interface_handles, emulation_twamp_config, emulation_twamp_config.handle, emulation_twamp_control_range_config, emulation_twamp_control_range_config.handle, emulation_twamp_test_range_config, emulation_twamp_test_range_config.handle, emulation_twamp_server_range_config, emulation_twamp_server_range_config.handle, emulation_ancp_config, emulation_ancp_config.handle, emulation_ancp_subscriber_lines_config, emulation_ancp_subscriber_lines_config.handle, fc_client_config, fc_client_config.handle, fc_fport_config, fc_fport_config.handle, fc_fport_vnport_config, fc_fport_vnport_config.handle, traffic_config, traffic_config.stream_id, traffic_config.traffic_item, traffic_l47_config, traffic_l47_config.traffic_l47_handle.applib_profile, traffic_l47_config.traffic_l47_handle.applib_profile.applib_flow, traffic_l47_config.traffic_l47_handle.applib_profile.applib_flow.parameter, traffic_l47_config.traffic_l47_handle.applib_profile.applib_flow.connection, traffic_l47_config.traffic_l47_handle.applib_profile.applib_flow.connection.parameter, emulation_multicast_group_config, emulation_multicast_source_config","IxNetwork, IxOS/IxNetwork-FT",ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
